player_name,player_height,pts,reb,ast,label
Mark Jackson,190.5,8.3,3.9,8.7,4
Mark Hendrickson,205.74,3.4,3.0,0.9,0
Mark Davis,200.66,4.0,2.2,1.0,0
Mark Bryant,205.74,4.2,3.5,0.7,0
Mario Elie,195.58,8.4,2.1,3.0,1
Mario Bennett,205.74,3.9,2.8,0.4,0
Marcus Camby,210.82,12.1,7.4,1.8,2
Malik Sealy,203.2,7.7,2.8,1.3,3
Malik Rose,200.66,3.0,1.7,0.4,0
Randy Livingston,193.04,0.8,0.5,0.4,0
Mark Price,182.88,9.5,2.0,4.7,1
Michael Finley,200.66,21.5,5.3,4.9,4
Nick Van Exel,185.42,13.8,3.0,6.9,4
Michael McDonald,208.28,0.0,1.0,0.0,0
Lucious Harris,195.58,3.8,1.0,0.8,0
Randy Brown,187.96,4.1,1.3,2.1,1
Priest Lauderdale,223.52,3.7,2.6,0.5,0
Popeye Jones,203.2,8.6,7.3,1.3,3
Pooh Richardson,185.42,4.2,1.4,3.3,1
Pete Myers,198.12,1.6,1.1,0.3,0
Pete Chilcutt,208.28,4.9,3.7,1.3,3
Pervis Ellison,205.74,3.0,3.3,0.9,0
Patrick Ewing,213.36,20.8,10.2,1.1,2
P.J. Brown,210.82,9.6,8.6,1.4,2
Otis Thorpe,208.28,10.2,7.3,3.0,2
Michael Jordan,198.12,28.7,5.8,3.5,4
Othella Harrington,205.74,6.0,3.6,0.4,0
Olden Polynice,213.36,7.9,6.3,1.5,3
Nick Anderson,198.12,15.3,5.1,2.1,3
Nate McMillan,195.58,3.4,2.2,3.1,1
Muggsy Bogues,160.02,5.7,2.2,5.4,1
Mookie Blaylock,185.42,13.2,4.9,6.7,4
Monty Williams,203.2,6.3,2.5,1.2,0
Mitchell Butler,195.58,2.1,1.2,1.0,0
Mitch Richmond,195.58,23.2,3.3,4.0,4
Micheal Williams,187.96,2.6,0.6,1.3,1
Michael Stewart,208.28,4.6,6.6,0.8,3
Michael Smith,203.2,5.2,6.4,1.8,3
Oliver Miller,205.74,6.3,6.3,3.1,3
